subject,mission,global_score,HRVrest,HRrest,HRVall_mission,HRVbegin_mission,HRVall_mission_norm,HRVbegin_mission_norm,HRall_mission,HRbegin_mission,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,navKeys,tankKeys,trees,spaceKeys,tanklevel,rbtlevel,temp,bat
30,1,11,0.07958475975013816,58.641310649858355,0.06779562721574872,0.05790796571434454,-0.011789132534389443,-0.021676794035793624,64.5155135688363,68.44332760216903,5.0,656.0,353.0,183.0,75.0,1215.96,187611.6030000001,84173.10500000003,33861.39500000001,14078.235999999997,396,237,11,11,12.640866313253014,24.337349397590362,53.78349397590361,56.09397590361446
30,2,10,0.07733808175077068,60.65303096674192,0.06355682168029322,0.04689956461415959,-0.01378126007047746,-0.030438517136611096,62.02228428868195,63.06621953050702,9.0,680.0,172.0,102.0,84.0,1751.66,157826.92000000004,39110.852999999996,19369.19,14554.626999999997,216,187,10,5,45.97885180327869,40.721311475409834,50.274613114754096,62.42295081967213
30,3,23,0.0759955691150981,60.57997881355932,0.05830245342136718,0.04320318918269294,-0.017693115693730915,-0.032792379932405157,60.82393031761011,60.23290054878867,11.0,1198.0,550.0,260.0,196.0,2031.81,263244.0159999998,109877.672,45839.17800000001,32994.16300000002,549,305,23,15,49.8014558,44.55,51.061886666666666,63.10333333333333
30,4,22,0.07050277030380683,59.738769448850796,0.05310636211305998,0.04095117689259845,-0.01739640819074685,-0.02955159341120838,60.159758693635624,59.918111913717915,22.0,932.0,547.0,309.0,182.0,4635.139999999999,230442.91199999995,120575.8490000001,62295.11900000004,33425.12300000002,577,268,22,14,55.906746000000005,45.766666666666666,52.95350166666667,58.63
