subject,mission,global_score,HRVrest,HRrest,HRVall_mission,HRVbegin_mission,HRVall_mission_norm,HRVbegin_mission_norm,HRall_mission,HRbegin_mission,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,navKeys,tankKeys,trees,spaceKeys,tanklevel,rbtlevel,temp,bat
29,1,5,0.04638087834246234,71.28871931321854,0.06730705660973436,0.031332508845242336,0.020926178267272028,-0.01504836949722,79.20922461543525,88.82757692501812,4.0,224.0,123.0,150.0,58.0,736.0029999999999,70188.65000000001,37059.53600000001,39073.034999999996,11386.579,176,127,5,8,76.1600895522388,22.08955223880597,67.89165174129351,49.75124378109453
29,2,9,0.04638914514350751,71.09597957242278,0.0858200418752294,0.033050753698631315,0.03943089673172189,-0.013338391444876196,83.47358641456327,81.40708506378543,13.0,663.0,131.0,153.0,94.0,2327.98,216093.48899999977,39524.018,34857.517,18269.662000000004,175,427,9,13,22.39612493827161,37.75308641975309,50.27800493827161,53.16543209876543
29,3,4,0.06712477751193144,74.12230179796661,0.07070793111043301,0.035177975690785734,0.0035831535985015733,-0.031946801821145704,76.30645907199013,77.45651346386191,0.0,238.0,114.0,99.0,44.0,0.0,76153.891,33832.794,22222.166,8475.044999999996,104,130,4,6,44.846972375690605,17.34806629834254,107.82209392265194,54.751381215469614
29,4,4,0.053215434311669335,69.84401503309277,0.050309594022207256,0.04637790580233802,-0.002905840289462079,-0.006837528509331316,82.2032881315253,82.88810106356418,6.0,255.0,53.0,145.0,86.0,1159.849,69394.912,18241.892,35796.85900000001,21030.124999999996,114,137,4,3,64.30458905472636,43.53233830845771,50.47650746268657,49.75124378109453
