subject,mission,global_score,HRVrest,HRrest,HRVall_mission,HRVbegin_mission,HRVall_mission_norm,HRVbegin_mission_norm,HRall_mission,HRbegin_mission,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,navKeys,tankKeys,trees,spaceKeys,tanklevel,rbtlevel,temp,bat
36,1,33,0.07976305739779405,65.01191885178949,0.2942673275658324,0.042435462240093,0.21450427016803836,-0.037327595157701045,66.56541223678545,63.3473546613933,35.0,961.0,698.0,257.0,293.0,7655.022,240303.53899999993,149224.01699999988,40633.02500000001,53164.91000000001,757,621,33,20,26.779456833333334,39.15,51.41924833333333,54.515
36,2,31,0.04976006588448011,66.69763737722324,0.05118525614894313,0.03662225047841554,0.0014251902644630138,-0.013137815406064575,69.23502524660928,67.71671839471541,54.0,829.0,654.0,343.0,340.0,10007.017,229962.46400000004,136385.74800000017,55236.368000000024,59301.17800000006,740,616,31,20,43.011260033333336,49.03333333333333,54.05065666666667,57.35166666666667
36,3,29,0.041651698291765196,68.16245384833853,0.06071265066205909,0.026638302942820328,0.019060952370293892,-0.015013395348944868,69.80507461739418,69.76975979268413,39.0,1112.0,743.0,194.0,317.0,7330.691999999999,225358.81799999997,142082.6410000001,25806.433000000005,48302.576000000015,931,636,29,25,29.60509228333333,32.05,52.222678333333334,59.568333333333335
36,4,34,0.06300851949865005,68.29823562891292,0.057957650815755206,0.030953027268434446,-0.005050868682894845,-0.0320554922302156,71.16844031677127,69.34092622058456,57.0,1206.0,603.0,322.0,358.0,9615.604,226742.88199999984,110031.79800000001,37915.746000000014,48766.857,898,630,34,26,34.16910788333333,37.85,57.019198333333335,58.375
